descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
LUVA DE LIMPEZA;8608902;Artigos de limpeza;0;0;0;0;0;0;0;0.348991005;0.903132791;-0.190334158;1649678.465;0.096867209;-0.070140975;203205.6474;0.348991005;0.903132791;-0.178027237;1674753.578;0.096867209;-0.060599403;205290.8035
LUVA DE LIMPEZA DE BORRACHA;8608901;Artigos de limpeza;0;0;0;0;0;0;0;0.348991005;0.903132791;-0.190334158;1030577.325;0.096867209;-0.070140975;126945.4242;0.348991005;0.903132791;-0.178027237;1046242.1;0.096867209;-0.060599403;128248.0505
LUVA DE LIMPEZA DE PLASTICO;8608903;Artigos de limpeza;0;0;0;0;0;0;0;0.348991005;0.903132791;-0.190334158;225905.9941;0.096867209;-0.070140975;27826.86126;0.348991005;0.903132791;-0.178027237;229339.7652;0.096867209;-0.060599403;28112.40131
LUVA DE MALHA FEMININA;3502803;Roupa de mulher;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;34197.13789;0.56016814;-0.006594556;50135.78203;0.304819619;0.43983186;-0.123903733;34716.93438;0.56016814;0.001224182;50530.38278
LUVA DE MALHA INFANTIL;3602703;Roupa de crianca;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;2146.490037;0.56016814;-0.006594556;3146.928757;0.304819619;0.43983186;-0.123903733;2179.116686;0.56016814;0.001224182;3171.697105
LUVA DE MALHA MASCULINA;3402303;Roupa de homem;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;2804.237764;0.56016814;-0.006594556;4111.240355;0.304819619;0.43983186;-0.123903733;2846.862178;0.56016814;0.001224182;4143.598453
LUVA DE TECIDO FEMININA;3502804;Roupa de mulher;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;26933.34713;0.56016814;-0.006594556;39486.47473;0.304819619;0.43983186;-0.123903733;27342.73401;0.56016814;0.001224182;39797.25861
LUVA DE TECIDO INFANTIL;3602704;Roupa de crianca;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;13816.80238;0.56016814;-0.006594556;20256.55465;0.304819619;0.43983186;-0.123903733;14026.81777;0.56016814;0.001224182;20415.98672
LUVA DE TECIDO MASCULINA;3402304;Roupa de homem;0;0;0;0;0;0;0;0.304819619;0.43983186;-0.137021014;12689.794;0.56016814;-0.006594556;18604.26881;0.304819619;0.43983186;-0.123903733;12882.67887;0.56016814;0.001224182;18750.69634
LUVA PARA SERVICOS DOMESTICOS;3903703;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.353308082;0.461240217;-0.194073123;2355.838021;0.538759783;-0.042198943;3270.341462;0.353308082;0.461240217;-0.181823035;2391.646759;0.538759783;-0.034141323;3297.853614
LUZES (CABELEIREIRO);3100209;Cabeleireiro;0;0;0;0;0;0;0;0.127915708;0.611081979;0.077254483;350724.1753;0.388918021;-0.002531803;206683.1349;0.127915708;0.611081979;0.093628751;356055.1827;0.388918021;-0.001263549;206945.927
MACA;2401404;Outras;0;0;0;0;0;0;0;0.124288281;0.341247769;0.066934161;250581.6308;0.658752231;0.050673931;476356.2266;0.124288281;0.341247769;0.083151561;254390.4715;0.658752231;0.057502263;479452.0664
MACA;6803001;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;59414532.63;0.096867209;0.122005556;6305725.714;0.066169971;0.903132791;0.15114333;60317633.53;0.096867209;0.136140333;6385163.847
MACA ACIDA;6803002;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;334114.7216;0.096867209;0.122005556;35459.94049;0.066169971;0.903132791;0.15114333;339193.2653;0.096867209;0.136140333;35906.65695
MACA ARGENTINA;6803007;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;5495913.494;0.096867209;0.122005556;583286.9755;0.066169971;0.903132791;0.15114333;5579451.379;0.096867209;0.136140333;590635.0954
MACA ARGENTINA ORGANICA;6808607;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;34953.19295;0.096867209;0.122005556;3709.618469;0.066169971;0.903132791;0.15114333;35484.48148;0.096867209;0.136140333;3756.351419
MACA DESIDRATADA;6902414;Demais alimentos;0;0;0;0;1;0;0;0.301670591;0.903132791;-0.129792374;120720.9117;0.096867209;0.058449145;15749.06567;0.301670591;0.903132791;-0.116565218;122555.8696;0.096867209;0.069646513;15915.67554
MACA DO AMOR;6915601;Ultraprocessados;0;0;0;0;0;1;0;0.301670591;0.903132791;-0.129792374;183480.7009;0.096867209;0.058449145;23936.61185;0.301670591;0.903132791;-0.116565218;186269.6075;0.096867209;0.069646513;24189.83804
MACA DOCE;6803003;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;2373217.789;0.096867209;0.122005556;251872.0551;0.066169971;0.903132791;0.15114333;2409290.7;0.096867209;0.136140333;255045.0834
MACA FUGI;6803009;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;9640788.175;0.096867209;0.122005556;1023186.806;0.066169971;0.903132791;0.15114333;9787328.156;0.096867209;0.136140333;1036076.687
MACA FUGI ORGANICA;6808609;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;383470.2403;0.096867209;0.122005556;40698.09266;0.066169971;0.903132791;0.15114333;389298.9879;0.096867209;0.136140333;41210.79821
MACA FUJI;6803012;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;14068880.01;0.096867209;0.122005556;1493144.767;0.066169971;0.903132791;0.15114333;14282726.99;0.096867209;0.136140333;1511955.073
MACA GALA;6803010;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;27617887.43;0.096867209;0.122005556;2931114.918;0.066169971;0.903132791;0.15114333;28037679.32;0.096867209;0.136140333;2968040.453
MACA GALA ORGANICA;6808610;Maçã;0;1;1;0;0;0;0;0.066169971;0.903132791;0.133907929;93017.42442;0.096867209;0.122005556;9872.035326;0.066169971;0.903132791;0.15114333;94431.28927;0.096867209;0.136140333;9996.401037
