"coorte","sigla_uf","id_municipio","instrucao","ocupacao","curso_stem","cbo_2002","cbo_agregado","cbo_agregado_nome","cbo_agregado_nome_caser.laverde.rothwell","stem_background","tenure","tenure_rais","tenure_old","situacao","sigla_partido","idade","genero","populacao","densidade","idhm","renda_pc","per_populacao_urbana","per_populacao_homens","tx_med_ch","tx_med","tx_enf_ch","tx_enf","pct_desp_recp_saude_mun","cob_esf","tx_leito_sus","ideology_party","ideology_municipality","reeleito","mulher","ens_sup","sch_non_stem_cdt","X","Y_deaths_sivep","Y_hosp","T","T_X","barreiras_sanitarias","mascaras","restricao_atv_nao_essenciais","restricao_circulacao","restricao_transporte_publico","total_nfi"
"2016","MG","311510",7,"aposentado (exceto servidor publico)",1,"214915","2149","Others","Architecture and engineering","1",36,57.8,68,"deferido","PMN",57,"masculino",17740,27.056091751001,0.704,19.8463821411133,-16.9957141876221,50.6427604871448,0.931720793247223,1.01488494873047,0.637122213840485,0.732972502708435,32.12,57.53,202.976989746094,0.3464803195,0.159859218058,FALSE,FALSE,TRUE,FALSE,0.174283860202095,78.9177001127396,180.383314543405,1,0.174283860202095,1,0,0,1,0,2
"2016","TO","171880",2,"produtor agropecuario",.,.,.,.,.,"0",0,.,.,.,"PL",59,"masculino",4794,19.8614422601107,0.606,8.76660919189453,-7.81682300567627,50.662100456621,0.342465758323669,0.456620991230011,0.456620991230011,0.456620991230011,18.22,79.7,0,0.462572066,0.25303912063,FALSE,FALSE,FALSE,FALSE,-0.301921655580192,83.4376303712975,458.906967042136,0,0,.,.,.,.,.,.
"2016","MG","315895",7,"professor de ensino fundamental",.,.,.,.,.,"0",0,.,.,.,"REPUBLICANOS",50,"feminino",35369,114.479456074069,0.685,18.174144744873,-6.25347566604614,50.1592909188405,0.451061427593231,0.283884793519974,0.386398762464523,0.252342045307159,26.4,100,0,0.453008004,0.050890838797,FALSE,TRUE,TRUE,TRUE,-0.562198649951784,163.985410953095,610.704289066697,0,0,0,1,1,1,1,4
"2016","MG","314710",7,"empresario",.,.,.,.,.,"0",0,.,.,.,"PSD",48,"masculino",94808,165.366886350402,0.725,32.102970123291,-4.38227462768555,49.6849018220414,1.90053951740265,1.13877582550049,1.06083047389984,1.02821505069733,33.59,84.05,87.3430023193359,0.424576552,0.268804250503,FALSE,FALSE,TRUE,TRUE,-0.12889396970563,58.0119821112142,285.840857311619,0,0,0,1,1,1,1,4
"2016","PB","251270",7,"prefeito",1,"222110","2221","Agroforestry engineers","Architecture and engineering","1",96,175.5,175,"deferido","PSB",40,"masculino",19798,105.855818504453,0.607,9.80351257324219,-24.5450687408447,47.8221751786187,0.727705776691437,0.423392444849014,0.894416511058807,0.793860793113708,24.57,100,0,-0.129045116,-0.032515879337,TRUE,FALSE,TRUE,TRUE,0.167219764011799,90.9182745731892,166.68350338418,1,0.167219764011799,0,1,0,1,0,2
"2016","SP","354515",7,"comerciante",.,.,.,.,.,"0",0,.,0,"deferido","PSDB",52,"masculino",8393,78.3853696685316,0.791,29.075382232666,-15.1415138244629,49.7127537342015,0.97344571352005,0.765990018844604,0.5106600522995,0.5106600522995,29.33,0,0,0.504912877,0.208387246908,FALSE,FALSE,TRUE,TRUE,-0.140285658383878,59.5734540688669,452.758250923389,0,0,.,.,.,.,.,.
"2016","RN","240450",5,"empresario",.,.,.,.,.,"0",0,.,.,.,"MDB",44,"masculino",15963,56.5072328331235,0.626,105.273880004883,-62.0379943847656,50.0277777777778,1.32986116409302,1.45833337306976,1.28472220897675,1.45833337306976,22.17,100,187.5,0.41641139,0.359592747685,FALSE,FALSE,FALSE,FALSE,-0.0827341245776661,93.9672993798158,306.959844640732,0,0,.,.,.,.,.,.
"2016","PB","251390",7,"servidor publico municipal",1,"234405","2344","Uni. prof. of biological sciences","Life, physical, and social science","1",48.0000015258789,58.9000015258789,58,"deferido","DEM",36,"masculino",34344,134.826209402863,0.58,12.8516912460327,-17.5908050537109,49.2613844463435,0.697411775588989,0.518862187862396,0.92326945066452,0.885117828845978,28.64,100,106.824562072754,0.760155427,0.251216286926,FALSE,FALSE,TRUE,FALSE,0.00209624905222783,177.614721639879,550.314465408805,1,0.00209624905222783,.,.,.,.,.,.
"2016","CE","231160",7,"engenheiro",1,"214205","2142","Civil engineers","Architecture and engineering","1",12,14.9,23,"deferido","PHS",27,"masculino",29146,120.768219076171,0.626,11.431188583374,-39.0290946960449,49.5342427519799,0.788472950458527,0.383770018815994,0.690786004066467,0.627987325191498,24.05,100,195.373825073242,-0.489099038,0.051536897725,FALSE,FALSE,TRUE,TRUE,0.66976989285087,192.136142180745,339.669251355246,1,0.66976989285087,.,.,.,.,.,.
"2016","MG","313270",7,"produtor agropecuario",.,.,.,.,.,"0",0,.,0,"deferido","PL",39,"masculino",23209,16.6184120872965,0.634,12.3389616012573,-32.1065940856934,48.3202687569989,1.21780514717102,1.20596086978912,0.934619665145874,0.990610718727112,21.13,100,344.560241699219,0.462572066,0.308010194522,FALSE,FALSE,TRUE,TRUE,-0.0378094404202818,51.7040803136714,150.803567581542,0,0,1,1,1,1,0,4
