"coorte","sigla_uf","id_municipio","instrucao","ocupacao","curso_stem","cbo_2002","cbo_agregado","cbo_agregado_nome","cbo_agregado_nome_caser.laverde.rothwell","stem_background","tenure","tenure_rais","tenure_old","situacao","sigla_partido","idade","genero","populacao","densidade","idhm","renda_pc","per_populacao_urbana","per_populacao_homens","tx_med_ch","tx_med","tx_enf_ch","tx_enf","pct_desp_recp_saude_mun","cob_esf","tx_leito_sus","ideology_party","ideology_municipality","reeleito","mulher","ens_sup","sch_non_stem_cdt","X","Y_deaths_sivep","Y_hosp","T","T_X","barreiras_sanitarias","mascaras","restricao_atv_nao_essenciais","restricao_circulacao","restricao_transporte_publico","total_nfi"
"2016","SP","354940",7,"prefeito",.,.,.,.,.,"0",0,.,0,"deferido","CIDADANIA",54,"masculino",52319,121.96279538435,0.762,33.4014854431152,-0.74912440776825,49.0533631570538,1.5193122625351,1.71752679347992,0.660049498081207,0.659050941467285,22.59,62.49,151.781433105469,-0.088556251,0.125985739332,TRUE,FALSE,TRUE,TRUE,-0.181026248423948,76.4540606662971,238.918939582179,0,0,0,1,1,1,1,4
"2016","RS","430980",3,"servidor publico municipal",.,.,.,.,.,"0",0,.,.,.,"PT",48,"masculino",4699,13.8984450254575,0.739,45.7724189758301,-37.7143745422363,49.0002104820038,0.784045457839966,0.420964002609253,0.841928005218506,0.841928005218506,21.16,71.16,420.964019775391,-0.618503589,-0.00962575993200001,FALSE,FALSE,FALSE,FALSE,-0.134604274985557,170.248989146627,340.497978293254,0,0,1,1,1,1,1,5
"2016","MG","317070",7,"prefeito",.,.,.,.,.,"0",0,.,0,"deferido","PTB",75,"masculino",136602,334.73530334146,0.778,42.8918190002441,-2.20719933509827,48.6178663454648,2.91749882698059,2.24129772186279,1.20488822460175,1.08253157138824,27.33,54.14,180.676055908203,0.230388573,0.250384452366,TRUE,FALSE,TRUE,TRUE,-0.154784702084587,83.4541221944042,569.537781291635,0,0,0,1,0,1,1,3
"2016","RS","431805",7,"engenheiro",1,"214205","2142","Civil engineers","Architecture and engineering","1",12,21.9,21,"deferido","PP",33,"masculino",3083,38.9242476212254,0.763,23.8945980072021,-38.4507713317871,50.3623188405797,1.03754937648773,0.329380750656128,0.988142311573029,0.988142311573029,25.12,100,164.690383911133,0.599924903,0.159299916133,FALSE,FALSE,TRUE,FALSE,0.0322717622080679,129.743756081739,940.642231592605,1,0.0322717622080679,0,1,1,1,0,3
"2016","PI","220040",7,"prefeito",.,.,.,.,.,"0",0,.,0,"deferido","PT",43,"feminino",40605,41.4710934522349,0.614,9.16927719116211,-27.7669506072998,49.0369780520579,0.719778060913086,0.920718669891357,0.64325886964798,0.771412909030914,15.7,100,94.5602951049805,-0.618503589,0.154157987044,TRUE,TRUE,TRUE,TRUE,-0.409577742213468,93.5845339243936,337.396872306366,0,0,.,.,.,.,.,.
"2016","BA","293020",5,"dona de casa",.,.,.,.,.,"0",0,.,.,.,"PSD",30,"feminino",40989,3.31511475338797,0.585,10.7506713867188,-40.8166847229004,51.2261995430312,0.505204379558563,0.355420172214508,0.374460518360138,0.279258698225021,16.12,50.36,81.2388916015625,0.424576552,0.120956785348,FALSE,TRUE,FALSE,FALSE,-0.144277497882206,39.0348630120276,70.7506892093001,0,0,1,1,1,1,0,4
"2016","SC","421950",3,"empresario",.,.,.,.,.,"0",0,.,.,.,"PSD",66,"masculino",51642,128.042905094186,0.775,36.8895263671875,-10.1106157302856,49.0767030735114,1.98752355575562,1.69944667816162,1.5466001033783,1.38857221603394,23.15,79.59,290.1494140625,0.424576552,0.18277508369,FALSE,FALSE,FALSE,FALSE,-0.167930831204559,108.438867588397,609.968630184733,0,0,0,1,1,1,1,4
"2016","MG","314780",3,"trabalhador de construcao civil",.,.,.,.,.,"0",0,.,.,.,"PV",33,"masculino",2031,8.56572735679175,0.648,16.3270492553711,-35.5611724853516,52.2431259044863,1.68837428092957,2.41196322441101,1.39893877506256,1.44717800617218,21.33,100,0,-0.031141703,0.124085575546,FALSE,FALSE,FALSE,FALSE,-0.308587257617728,49.2368291482029,196.947316592811,0,0,1,1,1,1,1,5
"2016","BA","291730",2,"prefeito",.,.,.,.,.,"0",0,.,.,.,"MDB",45,"feminino",28740,69.8718887349943,0.606,12.9769659042358,-25.9469432830811,50.0910161687547,0.694221377372742,0.428311377763748,0.521112203598022,0.464004009962082,17.17,83.47,117.785629272461,0.41641139,0.141208793909,TRUE,TRUE,FALSE,FALSE,-0.145856900452489,90.4662491301322,191.370911621434,0,0,1,1,0,1,1,4
"2016","AL","270790",7,"vereador",.,.,.,.,.,"0",0,.,.,.,"REPUBLICANOS",44,"masculino",7320,253.837890286586,0.597,18.2701244354248,-9.1884651184082,48.7357599333148,0.708530128002167,0.416782438755035,0.659905552864075,0.694637417793274,22.94,100,0,0.453008004,0.21539574343,FALSE,FALSE,TRUE,TRUE,-0.0835758835758836,150.273224043716,300.546448087432,0,0,.,.,.,.,.,.
"2016","GO","520490",7,"advogado",.,.,.,.,.,"0",0,.,0,"deferido","PL",35,"masculino",20007,26.98641564052,0.692,15.5203151702881,-10.7603120803833,49.3243243243243,0.923251509666443,0.928409337997437,0.760779857635498,0.825252711772919,20.24,88.86,175.3662109375,0.462572066,0.222585867719,FALSE,FALSE,TRUE,TRUE,-0.0859476517542231,74.9737591842855,164.942270205428,0,0,.,.,.,.,.,.
